,adapted_entities,precision,recall,f1-score,support,accuracy
0,UBM,0.4826604554865425,0.4861111111111111,0.4470001543172275,72.0,0.4861111111111111
1,user_id_2.0,1.0,1.0,1.0,2.0,1.0
2,user_id_7.0,0.25,0.5,0.3333333333333333,2.0,0.5
3,user_id_10.0,0.25,0.5,0.3333333333333333,2.0,0.5
4,user_id_16.0,0.0,0.0,0.0,2.0,0.0
5,user_id_29.0,0.5,0.5,0.5,2.0,0.5
6,user_id_33.0,0.25,0.5,0.3333333333333333,2.0,0.5
7,user_id_34.0,0.25,0.5,0.3333333333333333,2.0,0.5
8,user_id_37.0,0.25,0.5,0.3333333333333333,2.0,0.5
9,user_id_38.0,0.25,0.5,0.3333333333333333,2.0,0.5
10,avg_w/o_UBM,0.333,0.5,0.389,2.0,0.5
